latitud;longitud;precio_numero;num_banos;num_habitaciones;m2;anio_construccion;Parqueadero;Parque;Avenidas_principales;Colegios;Armario;Balcon;Patio;Bodega;Seguridad;OBJECTID;CODPAR;distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION
-1.03346458;-80.46495444;83000;2;2;98;2017;0;1;1;1;0;0;0;0;0;626;6770;0.031893857;0.106939852;0.413132517;0.537894854;0.006003579;0.247509923
-1.038160199;-80.47138005;85000;2;3;84;2024;1;1;1;1;0;0;0;0;0;626;6770;0.356150627;0.520483725;0.262848807;0.144202253;0.262635055;0.262877183
-1.044835175;-80.4740023;160000;3;4;93;2010;1;1;1;1;0;0;1;0;1;626;6770;0.529656083;0.467975079;0.4080682;0.230177713;0.375605579;0.354305408
-1.012885595;-80.46542213;160000;6;5;643;2017;0;1;1;1;0;0;0;0;0;627;5280;0.489696981;0.533223656;0.061688626;1.761339464;0.439258041;0.215670385
-1.053535851;-80.45187445;69000;2;3;105;2017;1;1;1;1;0;0;0;0;0;627;5280;0.318187935;0.064539708;0.147257588;0.045937203;0.171089033;0.206466201
-1.035227672;-80.46154946;78000;3;3;105;2017;0;1;1;1;0;1;0;0;0;627;5280;0.284234541;0.992758229;0.60389663;0.785295053;0.08350368;0.283173287
-1.027603726;-80.46532362;230000;3;6;527;2017;0;1;1;1;0;0;0;0;0;626;6770;0.654162394;0.116638628;0.125870583;0.008217066;0.107398461;0.151137575
-1.059789995;-80.44598706;179000;8;11;560;2017;0;1;1;1;0;0;0;0;0;629;5795;1.136449236;0.545775573;0.748759974;0.589787801;0.692307159;0.398536622
-1.034443435;-80.46647662;100000;2;3;93;2023;1;0;0;1;1;0;1;0;0;626;6770;0.229422704;0.288887915;0.395436144;0.654221;0.143660498;0.099006872
-1.053683898;-80.45469402;240000;7;5;125000;2017;1;0;0;1;0;0;1;1;0;626;6770;0.043928154;0.297646074;0.081268833;0.17581693;0.086899948;0.325821416
-1.055035502;-80.45462965;265000;4;4;315;2022;1;0;0;1;0;0;0;0;0;626;6770;0.084898353;0.304004012;0.20785178;0.248154273;0.13390526;0.421106644
-1.063089766;-80.45754266;77000;2;2;93;2017;0;1;1;0;0;1;0;0;0;632;5030;0.11646273;0.405696554;0.225988914;0.31463224;0.745744809;0.192045613
-1.05353372;-80.45469402;66999;2;3;80;2023;1;1;0;0;0;0;1;0;0;626;6770;0.04109295;0.300824589;0.073769873;0.160289255;0.073638048;0.318603014
