titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,condicion,armarios_empotrados,terraza,balcon,garaje,calefaccion,aire_acondicionado
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,475000,1.0,2,1,Muchas_plantas,2.0,96,Segunda mano/buen estado,1,1,0,0,1,1
"Ático en venta en avenida Juan Pablo II, 7",Tablada,355000,1.0,2,1,Ultimos_pisos,3.0,120,Segunda mano/buen estado,1,1,0,1,0,1
"Piso en venta en calle Fernando IV, 15",Ramón de Carranza - Madre Rafols,250000,1.0,1,0,Bajo,3.0,127,Segunda mano/para reformar,0,0,0,0,0,0
"Estudio en venta en calle Salado, 4",Plaza de Cuba - República Argentina,126000,1.0,1,0,Ultimos_pisos,1.0,42,Segunda mano/para reformar,1,0,0,0,1,1
"Piso en venta en calle Pedro Pérez Fernández, 5",Parque de los Principes - Calle Niebla,243000,1.0,1,0,Muchas_plantas,3.0,90,Segunda mano/buen estado,0,1,0,0,0,1
"Piso en venta en calle Virgen de Montserrat, 7",Asunción - Adolfo Suárez,310000,1.0,2,0,Primeros_pisos,3.0,117,Segunda mano/buen estado,1,1,0,0,0,1
"Piso en venta en Santa Fe, 3",Plaza de Cuba - República Argentina,598000,1.0,3,0,Ultimos_pisos,5.0,221,Segunda mano/buen estado,1,1,0,1,0,1
Piso en venta en Ramón de Carranza - Madre Rafols,Los Remedios,675000,1.0,3,0,Primeros_pisos,4.0,175,Segunda mano/buen estado,1,0,0,0,0,1
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,299000,1.0,1,0,Bajo,3.0,141,Segunda mano/buen estado,0,0,0,0,0,0
"Ático en venta en calle Juan Sebastián Elcano, 30",Asunción - Adolfo Suárez,399999,1.0,1,0,Ultimos_pisos,3.0,117,Segunda mano/buen estado,1,1,0,0,0,1
Piso en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,1080000,1.0,4,1,Ultimos_pisos,5.0,265,Segunda mano/buen estado,1,0,0,1,0,1
Piso en venta en calle Fernando IV,Ramón de Carranza - Madre Rafols,345000,0.0,2,0,Primeros_pisos,2.0,117,Segunda mano/buen estado,1,0,0,0,0,1
 Chalet adosado en venta en avenida Maestranza Aérea s/n,Tablada,300000,0.0,3,0,Muchas_plantas,4.0,140,Segunda mano/para reformar,1,1,0,0,0,1
Piso en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,950000,1.0,3,1,Ultimos_pisos,4.0,265,Segunda mano/buen estado,1,0,0,1,0,1
 Chalet adosado en venta en avenida Maestranza s/n,Tablada,300000,0.0,3,0,Muchas_plantas,4.0,134,Segunda mano/para reformar,1,1,0,0,0,1
Piso en venta en Av Blas Infante,Blas Infante,515000,1.0,3,0,Primeros_pisos,5.0,187,Segunda mano/buen estado,1,1,0,1,0,1
Piso en venta en calle Monte Carmelo,Asunción - Adolfo Suárez,379900,1.0,2,0,Primeros_pisos,5.0,149,Segunda mano/buen estado,1,1,0,0,1,1
Piso en venta en calle Asunción,Asunción - Adolfo Suárez,450000,1.0,3,1,Muchas_plantas,4.0,174,Segunda mano/buen estado,1,1,1,0,1,1
Piso en venta en calle Naos,Parque de los Principes - Calle Niebla,320000,0.0,1,1,Primeros_pisos,3.0,82,Segunda mano/buen estado,0,1,1,0,1,1
"Piso en venta en samuel morse, 1 o",Blas Infante,599500,0.0,3,0,Bajo,3.0,154,Segunda mano/buen estado,1,0,0,0,1,1
