latitud;longitud;precio_numero;anio_construccion;RAKING_TOTAL
-0.874353187;-80.54032441;200000;2015;23.20457831
-1.052997369;-80.45608877;390000;1985;25.99580502
-0.87386235;-80.53978727;90000;2017;22.33877513
-1.05371754;-80.46095389;134000;2017;24.00586088
-1.051860304;-80.45334219;240000;2017;25.48879473
-1.05273992;-80.44990896;88000;2022;26.4521067
-0.860441766;-80.53038595;89000;2017;16.33196857
-1.053083185;-80.45136809;450000;1980;26.76336986
-0.859090085;-80.53414104;150000;2017;16.24509043
-1.053040277;-80.45859932;165000;2018;23.4670874
-1.051189927;-80.45670565;250000;2017;25.1695382
-1.067599965;-80.45002539;150000;2017;23.19452114
-1.032535481;-80.46345978;78000;2013;22.37044512
-0.876144694;-80.54126855;235000;2010;23.96023242
-1.036700574;-80.46673635;93000;1995;22.84519207
-1.052761374;-80.45844912;80000;2005;23.71040924
-1.05342645;-80.45123934;85000;2022;26.42736891
-1.03509959;-80.47551062;92000;2022;21.26007763
-1.105054825;-80.42540454;170000;2020;13.03263806
-1.013984147;-80.36637833;750000;2000;14.73563278
-1.051624309;-80.45166849;265000;2022;26.81084994
-1.02981351;-80.46746939;95000;1988;23.74906562
-1.048813826;-80.45175432;125000;2017;24.30089264
-1.059453482;-80.45490114;108000;2017;23.65280601
-1.132092636;-80.4040046;170000;2017;14.95789651
-1.055486037;-80.45832037;240000;2017;24.23202391
-1.058115207;-80.44861359;69000;2019;21.17922395
-1.032064792;-80.34146411;320000;2017;19.21506243
-1.05205339;-80.46093821;350000;1997;23.80810798
-0.861621805;-80.53186652;298000;2017;17.06294686
-1.049092729;-80.45817017;100000;2017;24.3729368
-0.861450163;-80.53474185;120000;2015;16.57518893
-1.041326442;-80.47151155;72000;2023;25.52462113
-1.050208341;-80.44844984;93000;2020;22.55360559
-1.023562332;-80.47319573;100700;2017;20.3843628
-1.063315032;-80.45762849;77000;2017;22.68860362
-0.853651205;-80.53058983;75000;2022;16.95997748
-1.031441414;-80.46613105;125000;2017;25.06541753
-1.050060809;-80.46210597;92562;2016;24.5317365
-1.046641663;-80.45749958;180000;2017;22.88040189
-0.85992684;-80.53175924;220000;2017;16.4537565
-0.861407252;-80.53403375;120000;2015;16.71537638
-0.861342886;-80.52927015;135000;2010;16.13176036
-0.862179641;-80.53439853;75000;2021;16.75379808
-1.054928324;-80.48438075;37000;2024;21.07043071
-1.056344198;-80.45894264;55000;2019;25.10891483
-1.047977117;-80.45656084;66999;2023;24.21260546
-1.016676688;-80.46964316;65000;2017;19.49200856
-1.055958026;-80.45220493;62000;2017;23.59761213
-1.045107724;-80.47367063;160000;2010;21.391746
-1.057722883;-80.45722061;148014.6347;2006;24.45157507
-1.062012677;-80.4685217;85000;2009;24.68353901
-1.029574957;-80.47393978;112000;2023;19.43449987
-1.061304695;-80.4690045;74000;2009;24.67098683
-1.062048404;-80.47771383;89000;2024;19.12333355
-1.01193786;-80.46807722;102000;2023;18.03247502
-1.024423563;-80.47667782;84990;2023;21.93672364
-1.006916406;-80.46555477;98000;2024;15.99092218
-1.020979182;-80.46269984;63000;2023;19.7179598
-1.049170575;-80.46623292;260000;2000;22.80792862
-1.010059928;-80.46483354;88500;2023;18.39528569
-1.021543243;-80.47999318;105000;2024;23.52155745
-1.04941346;-80.46101002;50000;2021;23.85318223
-1.055131973;-80.46189447;48000;2006;24.36433868
-1.05749012;-80.46012556;39000;2017;25.14157897
-1.047526938;-80.44939417;86000;2023;21.99233673
-1.05749012;-80.4534037;76000;2015;24.02520279
-1.057902796;-80.45947696;83000;2001;25.93435196
-1.047526938;-80.44750733;350000;2008;21.80790427
-1.023996758;-80.47913466;105000;2024;22.27224213
-1.046165533;-80.45073109;250000;2020;23.4639269
-1.022957686;-80.47938303;99000;2024;23.00258345
-1.034616634;-80.46628125;230000;2012;23.43771191
-1.034595179;-80.46733268;230000;2012;23.53321153
-1.049350651;-80.45915393;74000;2021;24.33545078
-1.050347139;-80.44835147;46500;2009;22.57959714
-1.034692631;-80.46887698;83000;2024;23.05915749
-1.044158385;-80.46760626;250000;2022;23.9723218
-1.058109022;-80.45167052;220000;2019;24.60787843
-1.055870304;-80.47113062;63000;2001;23.84962228
-1.051345406;-80.45823454;260000;2000;24.78586772
-1.129136315;-80.40467477;195000;2003;14.69384452
-1.050015254;-80.45675396;45000;2009;24.93479018
-1.060719404;-80.46669735;92000;2004;25.26324704
-1.05464933;-80.46141028;48000;2006;24.43427962
