distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION;Factor1;Factor2;Factor3
24.45596638;33.48116922;3.118939227;20.09141589;0.393699762;3.956876599;7.481665862;64.28674572;32.39207124
21.669668;31.78861245;2.447383962;12.22185941;1.052581573;3.273569832;18.28862905;72.81039137;58.10832295
14.11821444;4.78367159;1.466489814;5.032984744;0.912689773;5.045064345;15.31685742;70.20515904;79.96527891
2.873769512;28.10821248;1.419892146;8.603632552;0.39130417;1.533806513;17.27229659;69.19037687;47.81588941
12.03697168;21.89568458;3.505680935;28.56550923;3.182181743;8.393787965;3.616894036;19.71540611;79.23557872
22.58220745;39.66227999;1.309092092;53.24567305;3.714730355;8.710721567;5.48592063;57.14642505;42.6231012
17.81898799;17.75119985;0.810409068;1.658350058;0.732553243;1.556774871;20.89718751;75.82879976;66.34575499
15.48445793;4.78282353;8.151707573;16.74212629;0.802195033;6.767689669;8.500586228;58.98750756;50.61743321
5.137280833;5.066978473;1.042006876;9.226167255;0.450232502;1.510325463;19.83921446;76.64863113;67.34000925
14.46134979;26.83451079;4.363610293;23.53106317;1.035543084;7.438735653;12.15442114;64.50926406;66.07971531
10.27372277;32.31570893;3.911991788;40.98196302;1.200594373;3.705124038;13.4368056;72.52823156;53.02112273
41.18586766;61.52287084;2.164304255;36.09751698;0.171936387;4.343296466;3.854466528;59.82727031;26.063753
9.013455602;27.33870647;0.994494265;0.790808319;0.719977699;3.979230664;18.33723408;46.81310281;17.60620622
11.39176281;28.13650842;0.66374195;0.786668869;0.61464697;3.637498676;100;31.5734641;14.8500012
18.45722884;23.63513808;0.510829946;8.950062075;0.708058605;3.321947923;41.7413176;51.55705348;19.07757094
0.4674899;18.30428945;1.764271723;5.724008771;0.343179001;5.014811439;87.66229262;44.32374718;22.41022482
8.186538413;28.20489406;1.620310846;16.22618997;0.922048729;1.654431435;20.3730494;68.97042912;50.68583502
36.00161032;37.83445011;0.400869447;26.13112506;1.576350831;4.23259862;22.43499727;55.52211307;18.38644846
