distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION;Factor1;Factor2;Factor3;CLUSTERS
1.148030035;1.400028592;0.395478739;1.000319131;0.078692763;0.253918521;1.214471875;1.784104656;1.429845855;0
1.115176722;1.359753633;0.663085602;1.758403032;0.305342964;1.412290814;1.423139012;0.809153004;1.739512398;2
1.115176722;1.359753633;0.646045914;1.732919273;0.416731791;1.376233073;0.86857037;1.212657182;1.836150169;2
0.416039618;0.649619661;0.248909444;0.843752314;0.053715572;0.607330917;1.208151107;1.77821445;1.382774122;1
0.92143694;1.255972051;0.448508618;0.681572878;0.205394653;0.857249555;0.97571741;1.812648228;1.518936853;3
0.949118834;1.259889443;0.462539287;0.732556756;0.225267859;0.855238702;0.967113366;1.81047399;1.504205506;3
1.310042636;1.532547904;0.436601483;1.160134928;0.220183186;0.402300358;1.218441089;1.779861216;1.396710071;0
1.115176722;1.359753633;0.741289802;1.684739512;0.336845474;1.311083431;1.339893287;0.908131749;1.751986635;2
1.097392751;1.599665827;0.337303367;0.433943482;0.170658548;0.465442589;1.522844786;1.705102069;0.935774305;3
0.775435257;1.13679967;0.394197135;0.599700654;0.246037903;0.76462971;0.969106375;1.810245017;1.502683337;1
1.164110861;1.494097573;0.164678796;0.323555733;0.24688149;0.694480837;1.078041751;1.763251911;1.54255305;3
1.116397728;1.360896475;0.364473489;1.040461963;0.262629526;0.174172734;1.057790321;1.734003484;1.589819584;0
1.158507133;1.401564318;0.392150591;1.033942534;0.120210565;0.097540695;0.975362058;1.812689253;1.519200991;0
1.006517272;1.224052102;0.569847916;1.122755295;0.308297634;0.448290127;0.882907876;1.750159831;1.622141458;0
1.510849601;2.003352844;0.036330194;0.257418208;0.449282055;0.472016357;0.762621257;1.827088294;1.551464628;3
1.248377993;1.279229014;0.513892823;0.925803667;0.350385355;0.743191538;1.211538916;1.78135504;1.408399493;0
1.193958772;0.62208074;0.31939817;0.560917406;0.228195498;0.756371877;0.906919635;1.747972493;1.61244181;1
0.744295921;1.253884613;0.288689097;0.720053555;0.086960154;0.780088634;1.096034313;1.795950203;1.457154038;1
0.75656974;1.242039507;0.402509572;0.373877909;0.176258832;0.785663047;0.967405599;1.810435839;1.503946198;1
1.665277341;1.868037769;0.637338211;1.601103332;0.248526678;0.759795398;0.977614606;1.81242931;1.517526016;2
1.190804217;1.622118803;0.341840474;0.701022962;0.05996158;0.569010063;1.522854425;1.705097999;0.935699549;3
0.994860818;1.48071723;0.311800783;0.336438115;0.274074645;0.742963716;1.20009941;1.743293627;1.477603686;3
0.989971338;0.993152316;0.79850411;1.228325631;0.080410164;0.219406146;1.359498815;1.681434909;1.474539278;0
0.930403744;1.285072037;0.396194951;0.766240797;0.106072612;0.888284408;0.995439514;1.813887595;1.527374144;3
0.910748497;0.917551653;0.270500645;1.026755272;0.422468397;0.807334503;1.049475859;1.731596425;1.578273396;1
1.070815207;0.973744905;0.752140835;1.065822082;0.119479735;0.568728954;1.092409466;1.732738578;1.584460204;0
0.399213064;1.335433351;0.40360248;1.054002011;0.276933667;0.164169287;1.368937759;1.76076607;1.715348466;1
1.419212989;1.357859406;0.195422992;1.521489079;0.4022458;0.714303577;1.188819194;1.778013367;1.401906591;2
0.486562538;1.345607652;0.40755642;1.06392667;0.258844042;0.141830545;1.229257639;1.791802428;1.767453012;1
1.037325464;1.275608563;0.664066146;1.381221061;0.364344815;0.964065856;0.696914376;1.734957092;1.570176298;2
1.584065635;1.803446316;0.495921182;1.531551148;0.204717143;0.552408349;1.156367113;1.813459962;1.572889393;2
0.834232868;1.182137253;0.378415959;1.139016808;0.365342083;0.895772894;1.165954304;1.793891337;1.808507701;0
1.474171005;1.685269829;0.389377017;1.76001091;0.734581748;0.846996618;1.255581993;1.785560488;1.776649772;2
